Headline,URL,Date,Summary
Former private prison official to serve as acting ICE chief,https://help.npr.org/contact/s/article?name=what-are-the-keyboard-shortcuts-for-using-the-npr-org-audio-player,"May 12, 2026 •","An ICE officer monitors hundreds of asylum seekers being processed upon entering the Jacob K. Javits Federal Building on June 6, 2023 in New York City.
                
                    
                    David Dee Delgado/Getty Images/Getty Images North America
                    
                
hide caption"
"Jason Collins, NBA's first openly gay player, dies at 47 of brain tumor",https://shopnpr.org,"May 12, 2026 •","May 12, 2026 • Compared to the start of President Trump's second term, David Venturella takes over an agency with a larger workforce, more financial resources — and also a continued funding lapse."
OpenAI's Sam Altman takes the stand to fend off Elon Musk's accusations he 'stole a charity',https://contribute.npr.org/,"May 12, 2026 •","Brooklyn Nets center Jason Collins dribbles the ball during the second half of an NBA basketball game against the Los Angeles Lakers, Feb. 23, 2014, in Los Angeles.
                
                    
                    Mark J. Terrill/AP
                    
                
hide caption"
Omaha's U.S. House race will test candidates' ability to reach beyond party lines,https://www.npr.org/series/tiny-desk-concerts/,"May 12, 2026 •","May 12, 2026 • Jason Collins, the NBA's first openly gay player who went on to become a pioneer for inclusion and an ambassador for the league, has died after an eight-month battle with an aggressive form of a brain tumor, his family announced Tuesday."
MPR News,https://www.npr.org/sections/allsongs/606254804/new-music-friday,4-Minute Listen,"OpenAI CEO Sam Altman walks inside the federal courthouse during a recess in the proceedings in the trial over Elon Musk's lawsuit against OpenAI in Oakland, California, on May 12, 2026.
                
                    
                    JOSH EDELSON/AFP via Getty Images
                    
                
hide caption"
"About 7 million kids live in a home with a loaded and unlocked gun, a study finds",https://www.npr.org/sections/allsongs/,"May 12, 2026 •","May 12, 2026 • The trial pits two of tech's most famous personalities against each other and could lead to seismic changes for the maker of ChatGPT."
Trump’s tactics in Iran and the longest intentional internet blackout ever,https://www.npr.org/sections/music-features,"May 12, 2026 •","May 12, 2026 • Omaha, Neb., is home to a toss-up Congressional race this year. Voters have shown a willingness to vote for moderate candidates from both parties, but has the definition of a moderate now changed?"
The SPLC survived firebombs and death threats. Will it survive Trump 2.0?,https://www.npr.org/series/770565791/npr-music-live-sessions,8-Minute Listen,"A study estimates that 32 million children live in homes with firearms, and a significant portion of those guns are not stored safely. Here, handguns are displayed at Kittery Trading Post, in Kittery, Maine.
                
                    
                    Charles Krupa/AP
                    
                
hide caption"
FDA commissioner resigns after tumultuous tenure,https://www.npr.org/programs/wait-wait-dont-tell-me/,"May 12, 2026 •","May 12, 2026 • The new study in JAMA Network Open also finds that more parents leave their guns loaded and unlocked when they have teenagers, despite the fact that suicide risk goes up for this age group."
Alabama splits U.S. House primaries after court ruling; S.C. redistricting stalls,https://www.npr.org/programs/fresh-air/,7-Minute Listen,"A NetBlocks graphic illustrates internet connectivity shutdowns in Iran
                
                    
                    Jonathan Raa/NurPhoto via Getty Images
                    
                
hide caption"
Israel's government is expected to collapse over ultra-Orthodox military draft,https://www.npr.org/podcasts/510379/wild-card-with-rachel-martin,"May 12, 2026 •","May 12, 2026 • President Trump has been using a wide range of tactics in the war with Iran in an effort to force the country to bend to U.S. demands.  But experts say the seesaw may be hampering efforts to reach a deal."
"Transportation Secretary Duffy filmed a reality show, funded by firms he regulates",https://www.npr.org/podcasts/510317/its-been-a-minute,"May 12, 2026 •","Acting U.S. Attorney General Todd Blanche speaks alongside Federal Bureau of Investigation Director Kash Patel a news conference last month to announce charges against to the Southern Poverty Law Center. They allege the group funneled over $3 million into the pockets of white supremacist and extremists groups. 
                
                    
                    Anna Moneymaker/Getty Images
                    
                
hide caption"
Inflation jumps to its highest level since 2023. Here are 3 things costing a lot more,https://www.npr.org/podcasts/510289/planet-money,"May 12, 2026 •","May 12, 2026 • The Southern Poverty Law Center is facing a serious threat from the Justice Department — and comes at a time when several former and current SPLC employees say the group is already deeply vulnerable."
"Trump heads to China for state visit. And, how the war in Iran has affected inflation",https://plus.npr.org/?utm_medium=nprweb&source=globalsubnav,"May 12, 2026 •","As Food and Drug Administration commissioner, Dr. Marty Makary was often at the center of controversies.
                
                    
                    Anna Moneymaker/Getty Images
                    
                
hide caption"
Trump goes to China as Iran war smolders,https://www.npr.org/2026/05/12/g-s1-121766/ice-acting-director-venturella,"May 12, 2026 •","May 12, 2026 • Secretary Duffy, his wife and nine kids took a ""Great American Road Trip"" to celebrate America's 250th. They say no taxpayers funded the project. But a nonprofit with transport-related sponsors did."
"As Trump goes to China, what do Americans say about tariffs, Iran and world standing?",https://www.npr.org/sections/immigration,4-Minute Listen,"Gasoline prices have jumped about $1.50 a gallon since the U.S. launched its war with Iran. Rising fuel prices are a big driver of overall inflation.
                
                    
                    Ronaldo Schemidt/AFP
                    
                
hide caption"
Four voices from the Great Depression,https://www.npr.org/2026/05/12/g-s1-121763/jason-collins-nba-dies,"May 12, 2026 •","May 12, 2026 • Trump leaves for Beijing today for a state visit with Chinese President Xi Jinping. And, a new inflation report is expected to show the war in Iran's impact on the U.S."
Privacy Preference Center,https://www.npr.org/sections/obituaries/,3-Minute Listen,"ICE agents approach a house before detaining two people on Jan. 13 in Minneapolis.
                
                    
                    Stephen Maturen/Getty Images
                    
                
hide caption"
